time_iso8601,forks_cumulative
2024-05-08 00:00:00+00:00,549
2024-05-13 00:00:00+00:00,550
2024-05-22 00:00:00+00:00,552
2024-05-26 00:00:00+00:00,553
2024-05-28 00:00:00+00:00,554
2024-05-30 00:00:00+00:00,555
2024-06-04 00:00:00+00:00,556
2024-06-10 00:00:00+00:00,557
2024-06-24 00:00:00+00:00,558
2024-06-25 00:00:00+00:00,559
2024-06-28 00:00:00+00:00,562
2024-06-29 00:00:00+00:00,563
2024-07-04 00:00:00+00:00,564
2024-07-07 00:00:00+00:00,565
2024-07-10 00:00:00+00:00,567
2024-07-11 00:00:00+00:00,568
2024-07-17 00:00:00+00:00,569
2024-07-26 00:00:00+00:00,570
2024-07-28 00:00:00+00:00,571
2024-08-03 00:00:00+00:00,572
2024-08-08 00:00:00+00:00,573
2024-08-09 00:00:00+00:00,574
2024-08-12 00:00:00+00:00,575
2024-08-20 00:00:00+00:00,577
2024-09-02 00:00:00+00:00,578
2024-09-05 00:00:00+00:00,579
2024-09-09 00:00:00+00:00,580
2024-09-20 00:00:00+00:00,581
2024-09-24 00:00:00+00:00,582
2024-10-07 00:00:00+00:00,583
2024-10-10 00:00:00+00:00,584
2024-10-14 00:00:00+00:00,585
2024-10-17 00:00:00+00:00,587
2024-10-19 00:00:00+00:00,588
2024-10-23 00:00:00+00:00,589
2024-10-24 00:00:00+00:00,590
2024-10-25 00:00:00+00:00,591
2024-10-26 00:00:00+00:00,592
2024-10-28 00:00:00+00:00,593
2024-10-31 00:00:00+00:00,595
2024-11-05 00:00:00+00:00,596
2024-11-09 00:00:00+00:00,597
2024-11-17 00:00:00+00:00,598
2024-11-22 00:00:00+00:00,599
2024-11-28 00:00:00+00:00,600
2024-12-01 00:00:00+00:00,601
2024-12-10 00:00:00+00:00,602
2024-12-23 00:00:00+00:00,604
2024-12-24 00:00:00+00:00,605
2024-12-29 00:00:00+00:00,606
2025-01-01 00:00:00+00:00,607
2025-01-07 00:00:00+00:00,608
2025-01-14 00:00:00+00:00,609
2025-01-16 00:00:00+00:00,610
2025-01-21 00:00:00+00:00,611
2025-01-25 00:00:00+00:00,612
2025-02-01 00:00:00+00:00,613
2025-02-04 00:00:00+00:00,614
2025-02-06 00:00:00+00:00,616
2025-02-17 00:00:00+00:00,617
2025-02-18 00:00:00+00:00,618
2025-02-19 00:00:00+00:00,619
2025-02-24 00:00:00+00:00,620
2025-02-25 00:00:00+00:00,621
2025-02-28 00:00:00+00:00,622
2025-03-01 00:00:00+00:00,623
