time_iso8601,stars_cumulative
2023-11-19 00:00:00+00:00,342
2023-11-20 00:00:00+00:00,351
2023-11-21 00:00:00+00:00,355
2023-11-22 00:00:00+00:00,357
2023-11-23 00:00:00+00:00,361
2023-11-24 00:00:00+00:00,363
2023-11-25 00:00:00+00:00,367
2023-11-26 00:00:00+00:00,369
2023-11-27 00:00:00+00:00,373
2023-11-28 00:00:00+00:00,375
2023-11-29 00:00:00+00:00,377
2023-11-30 00:00:00+00:00,380
2023-12-01 00:00:00+00:00,387
2023-12-02 00:00:00+00:00,388
2023-12-03 00:00:00+00:00,391
2023-12-04 00:00:00+00:00,400
2023-12-05 00:00:00+00:00,645
2023-12-06 00:00:00+00:00,779
2023-12-07 00:00:00+00:00,970
2023-12-08 00:00:00+00:00,1319
2023-12-09 00:00:00+00:00,1714
2023-12-10 00:00:00+00:00,2219
2023-12-11 00:00:00+00:00,2678
2023-12-12 00:00:00+00:00,2895
2023-12-13 00:00:00+00:00,3036
2023-12-14 00:00:00+00:00,3085
2023-12-15 00:00:00+00:00,3128
2023-12-16 00:00:00+00:00,3163
2023-12-17 00:00:00+00:00,3189
2023-12-18 00:00:00+00:00,3221
2023-12-19 00:00:00+00:00,3248
2023-12-20 00:00:00+00:00,3273
2023-12-21 00:00:00+00:00,3293
2023-12-22 00:00:00+00:00,3322
2023-12-23 00:00:00+00:00,3331
2023-12-24 00:00:00+00:00,3378
2023-12-25 00:00:00+00:00,3416
2023-12-26 00:00:00+00:00,3446
2023-12-27 00:00:00+00:00,3471
2023-12-28 00:00:00+00:00,3499
2023-12-29 00:00:00+00:00,3522
2023-12-30 00:00:00+00:00,3540
2023-12-31 00:00:00+00:00,3545
2024-01-01 00:00:00+00:00,3554
2024-01-02 00:00:00+00:00,3580
2024-01-03 00:00:00+00:00,3602
2024-01-04 00:00:00+00:00,3633
2024-01-05 00:00:00+00:00,3655
2024-01-06 00:00:00+00:00,3667
2024-01-07 00:00:00+00:00,3686
2024-01-08 00:00:00+00:00,3694
2024-01-09 00:00:00+00:00,3707
2024-01-10 00:00:00+00:00,3716
2024-01-11 00:00:00+00:00,3728
2024-01-12 00:00:00+00:00,3732
2024-01-13 00:00:00+00:00,3736
2024-01-14 00:00:00+00:00,3742
2024-01-15 00:00:00+00:00,3752
2024-01-16 00:00:00+00:00,3759
2024-01-17 00:00:00+00:00,3768
2024-01-18 00:00:00+00:00,3773
2024-01-19 00:00:00+00:00,3780
2024-01-20 00:00:00+00:00,3784
2024-01-21 00:00:00+00:00,3790
2024-01-22 00:00:00+00:00,3794
2024-01-23 00:00:00+00:00,3799
2024-01-24 00:00:00+00:00,3805
2024-01-25 00:00:00+00:00,3815
2024-01-26 00:00:00+00:00,3823
2024-01-27 00:00:00+00:00,3825
2024-01-28 00:00:00+00:00,3830
2024-01-29 00:00:00+00:00,3834
2024-01-30 00:00:00+00:00,3863
2024-01-31 00:00:00+00:00,3893
2024-02-01 00:00:00+00:00,3923
2024-02-02 00:00:00+00:00,3957
2024-02-03 00:00:00+00:00,3963
2024-02-04 00:00:00+00:00,3968
2024-02-05 00:00:00+00:00,3974
2024-02-06 00:00:00+00:00,3980
2024-02-07 00:00:00+00:00,3986
2024-02-08 00:00:00+00:00,3988
2024-02-09 00:00:00+00:00,3993
2024-02-10 00:00:00+00:00,4000
2024-02-11 00:00:00+00:00,4003
2024-02-12 00:00:00+00:00,4010
2024-02-13 00:00:00+00:00,4015
2024-02-14 00:00:00+00:00,4017
2024-02-15 00:00:00+00:00,4022
2024-02-16 00:00:00+00:00,4026
2024-02-17 00:00:00+00:00,4028
2024-02-18 00:00:00+00:00,4031
2024-02-19 00:00:00+00:00,4036
2024-02-20 00:00:00+00:00,4041
2024-02-21 00:00:00+00:00,4049
2024-02-22 00:00:00+00:00,4056
2024-02-23 00:00:00+00:00,4060
2024-02-24 00:00:00+00:00,4062
2024-02-25 00:00:00+00:00,4063
2024-02-27 00:00:00+00:00,4066
2024-02-28 00:00:00+00:00,4071
2024-02-29 00:00:00+00:00,4072
2024-03-01 00:00:00+00:00,4075
2024-03-02 00:00:00+00:00,4080
2024-03-03 00:00:00+00:00,4082
2024-03-04 00:00:00+00:00,4084
2024-03-05 00:00:00+00:00,4088
2024-03-06 00:00:00+00:00,4093
2024-03-07 00:00:00+00:00,4097
2024-03-08 00:00:00+00:00,4100
2024-03-09 00:00:00+00:00,4102
2024-03-10 00:00:00+00:00,4106
2024-03-11 00:00:00+00:00,4111
2024-03-12 00:00:00+00:00,4112
2024-03-13 00:00:00+00:00,4113
2024-03-14 00:00:00+00:00,4117
2024-03-15 00:00:00+00:00,4124
2024-03-16 00:00:00+00:00,4126
2024-03-17 00:00:00+00:00,4130
2024-03-18 00:00:00+00:00,4135
2024-03-19 00:00:00+00:00,4137
2024-03-20 00:00:00+00:00,4139
2024-03-21 00:00:00+00:00,4146
2024-03-22 00:00:00+00:00,4147
2024-03-24 00:00:00+00:00,4150
2024-03-25 00:00:00+00:00,4152
2024-03-26 00:00:00+00:00,4159
2024-03-27 00:00:00+00:00,4163
2024-03-28 00:00:00+00:00,4166
2024-03-29 00:00:00+00:00,4168
2024-03-30 00:00:00+00:00,4174
2024-03-31 00:00:00+00:00,4176
2024-04-01 00:00:00+00:00,4185
2024-04-02 00:00:00+00:00,4189
2024-04-03 00:00:00+00:00,4191
2024-04-04 00:00:00+00:00,4193
2024-04-05 00:00:00+00:00,4197
2024-04-06 00:00:00+00:00,4198
2024-04-07 00:00:00+00:00,4203
2024-04-08 00:00:00+00:00,4207
